상호명,지번주소
정가네 뽈테기 찜탕,서울 양천구 신월동 166-2
착한고기,서울 양천구 신월동 96-4
수상한파스타 상수본점,서울 마포구 상수동 314-8
피자로뎀,서울 영등포구 대림동 909-44
놀부부대찌개&철판구이,서울 영등포구 대림동 909-2
쌀똑 핫도그 북가좌점,서울 서대문구 북가좌동 107-1
허가네행복찌개,서울 강서구 방화동 573-2
로꼬로꼬조개찜,서울 영등포구 영등포동3가 4-12
김해숙들마루순대국,서울 양천구 신월동 113-28
애리식당,서울 양천구 신월동 224-27
가장맛있는족발,서울 마포구 상암동 2-93
구구족 신당역점,서울 중구 신당동 140-34
마녀의 컵플하우스,서울 영등포구 대림동 786-5
은주식당,서울 중구 주교동 43-23
달꿍,서울 성동구 하왕십리동 985
낭만 김치찌개,서울 강서구 등촌동 663-21
맛뿔감자탕,서울 영등포구 대림동 990-4
달무리떡,서울 성동구 마장동 791-9
문래감자탕순대국,서울 영등포구 양평동2가 1-1
마라전문 미메이라 홍제점,서울 서대문구 홍은동 41-1
달드,서울 성동구 하왕십리동 989-16
한사바리해장국 왕십리점,서울 성동구 하왕십리동 955-1
하노이의아침,서울 영등포구 여의도동 43-3
인정푸드,서울 송파구 오금동 122-4
노멀브런치(Normal Brunch),서울 용산구 용산동2가 1-402
오봉도시락영등포양평점,서울 영등포구 양평동3가 5-4
신화불닭,서울 서대문구 창천동 53-3
홍대원조낙곱새,서울 서대문구 창천동 53-3
케이6송탄부대찌개,서울 양천구 목동 793-2
도리식탁,서울 양천구 목동 923-14
또오기찌개마을,서울 용산구 원효로1가 47-18
스낵서울,서울 종로구 삼청동 80-6
종로바베큐보쌈,서울 종로구 효제동 233-2
황금짜장,서울 관악구 봉천동 930-15
마라인마라탕마라샹궈,서울 광진구 중곡동 49-3
부산에서한남까지 낙곱새 본점,서울 용산구 한남동 619-1
삼합당,서울 관악구 신림동 1433-67
누아젯,서울 관악구 봉천동 1625-23
쏠 파스타,서울 서초구 반포동 60-4
국사랑 방배점,서울 서초구 방배동 1024-6
153콩나물국밥,서울 광진구 자양동 226-6
행복한과일,서울 송파구 송파동 121
샹츠마라 구의 직영점,서울 광진구 구의동 252-43
소림타운 광진점,서울 광진구 구의동 668
모두뼈다귀감자탕,서울 강서구 화곡동 1006-9
마라영웅 영등포점,서울 영등포구 영등포동6가 4-2
두찜 잠실새내점,서울 송파구 잠실동 213-4
툇마루 연탄구이 한우한돈,서울 송파구 잠실동 179-1
니하오마라탕,서울 종로구 교남동 36-3
바다왕국,서울 송파구 가락동 18-13
이태리식당,서울 광진구 화양동 23-1
주식회사 제이푸디,서울 송파구 방이동 223-1
라사천마라탕 방이점,서울 송파구 방이동 129-3
라사천마라탕,서울 마포구 상암동 1293
성균관감자탕,서울 종로구 명륜3가 118-3
정성미역국 문정점,서울 송파구 문정동 652
타이반쩜 신림점,서울 관악구 봉천동 492-12
